indicator_code,description,status,created_by,updated_by
1,"Hospitalisation cases (excluding childbirth) per 100,000 persons during the last 365 days by age-group",Active,system,system
2,"Hospitalisation cases (excluding childbirth) per 100,000 persons of different social groups during the last 365 days",Active,system,system
3,"Cases of hospitalisation (excluding childbirth) reported per 100,000 persons during the last 365 days by broad ailment category",Active,system,system
4,Percentage distribution of hospitalised cases (excluding childbirth) over detailed ailment types during last 365 days,Active,system,system
5,Percentage distribution of hospitalised cases (excluding childbirth) over broad ailment categories for different age groups,Active,system,system
6,Percentage distribution of hospitalised cases (excluding childbirth) by type of medical institution for each broad ailment type,Active,system,system
7,"Percentage distribution of hospitalisation cases(excluding childbirth) during the last 365 days by type of ward for each type of medical institution and, for each state/UT",Active,system,system
8,"Percentage distribution of hospitalisation cases (excluding childbirth) during last 365 days by nature of treatment received during hospitalisation, for each quintile class of household expenditure",Active,system,system
9,"Percentage distribution of hospitalisation cases (excluding childbirth) during last 365 days by nature of treatment received during hospitalisation, for each state/UT",Active,system,system
10,Average medical expenditure for treatment per hospitalisation (excluding childbirth) case during stay at hospital (as inpatient) over last 365 days by quintile class of household expenditure,Active,system,system
11,"Average total medical expenditure per hospitalisation case (excluding childbirth) for treatment during stay at hospital (as inpatient) in last 365 days by type of hospital, broad nature of ailment",Active,system,system
12,Average medical expenditure for treatment per hospitalisation (excluding childbirth) case during stay at hospital (as inpatient) over last 365 days by social group,Active,system,system
13,Average medical expenditure and non-medical expenditure on account of hospitalisation per hospitalisation case (excluding childbirth) for each quintile class of household expenditure during last 365 days,Active,system,system
14,Average medical expenditure and non-medical expenditure (in Rs.) on account of hospitalisation per hospitalisation case (excluding childbirth) for each State/UT during last 365 days,Active,system,system
15,Average medical expenditure (Rs.) per hospitalisation case (excluding childbirth) during last 365 days and its break-up by category of expenditure separately for each State/UT,Active,system,system
16,Average out-of-pocket medical expenditure (OOPME)for treatment per hospitalisation (excluding childbirth) case during stay at hospital (as inpatient) over last 365 days by quintile class of household expenditure,Active,system,system
17,Average out-of-pocket medical expenditure (OOPME) per hospitalisation case (excluding childbirth) for treatment during stay at hospital (as inpatient) in last 365 days by type of hospital for each state/UT,Active,system,system
18,Number per 1000 persons reporting ailments (PAP) during last 15 days by gender and age-group,Active,system,system
19,Number of ailments reported Per 100000 persons during the last 15 days for each ailment type,Active,system,system
20,Number of ailments of each broad ailment category reported per 100000 persons during the last 15 days by age-group,Active,system,system
21,Percentage distribution of spells of ailment over broad ailment categories for different age groups during last 15 days,Active,system,system
22,"Number of persons per 1,00,000 reporting onset of ailments during last 15 days and average duration of ailment by gender and broad ailment category separately for chronic and non-chronic ailments",Active,system,system
23,Average medical expenditure and non-medical expenditure (in Rs.) for treatment per ailing person during a period of last 15 days for each state/UT,Active,system,system
24,Average medical expenditure and non-medical expenditure for treatment per treated spell of ailment during a period of last 15 days for each quintile class of household expenditure,Active,system,system
25,Average medical expenditure for (non-hospitalised) treatment per treated spell of ailment during last 15 days by level of care for each broad nature of ailment,Active,system,system
26,Average medical expenditure for (non-hospitalised) treatment per treated spell of ailment during last 15 days by level of care  for each quintile class of household expenditure,Active,system,system
27,"Average medical expenditure for (non-hospitalised) treatments per spell of treated ailment during last 15 days by nature of treatment, for each State/UT",Active,system,system
28,"Average medical expenditure for (non-hospitalised) treatments per treated spell of ailment during last 15 days by nature of treatment, for each quintile class of household expenditure",Active,system,system
29,Average out-of-pocket medical expenditure for (non-hospitalised) treatment per treated spell of ailment during last 15 days by level of care  for each state/UT,Active,system,system
30,Percentage distribution of aged persons by state of economic independence for each State/UT,Active,system,system
31,Percentage distribution of aged persons of each age-group by state of physical mobility ,Active,system,system
32,Percentage distribution of aged persons of each State/UT by state of physical mobility ,Active,system,system
33,Percentage of children (0 – 5 years) receiving any type of immunisation and average expenditure incurred on immunisation during last 365 days for each State/UT ,Active,system,system
34,Percentage distribution of cases of hospitalisation for childbirth by type of medical institution for each State/UT,Active,system,system
35,Percentage distribution of cases of hospitalisation for childbirth by type of medical institution for each quintile class of household expenditure,Active,system,system
36,Percentage distribution of cases of hospitalisation for childbirth by type of medical institution for each social group,Active,system,system
37,Average total expenditure per childbirth (excluding abortion cases) over last 365 days by place of delivery for different types of delivery for each state/UT,Active,system,system
38,Average total  expenditure per childbirth (excluding abortion cases) over last 365 days by place of delivery for different types of delivery for each quintile class of household expenditure and social group,Active,system,system
39,Average medical and non-medical expenditure (Rs.) per hospitalised childbirth during last 365 days – and item-wise of medical expenditure – for different medical institutions for each State/UT,Active,system,system
40,Average medical and non-medical expenditure (Rs.) per hospitalised childbirth during last 365 days – and item-wise of medical expenditure – for different medical institutions for each quintile class of household expenditure,Active,system,system
41,Average out-of-pocket medical expenditure (OOPME) for institutional childbirth cases during stay at hospital over last 365 days for each quintile class of  household expenditure,Active,system,system
42,Average out-of-pocket medical expenditure (OOPME) for institutional childbirth cases during stay at hospital over last 365 days for each State/UT ,Active,system,system
